,Sector,Start,End,Total Return,CAGR,Ann Vol,Sharpe (rf=3%),Max Drawdown
USB,Financials,1999-01-04,2024-12-30,2.669879501862991,0.05130244138122286,0.3453612289127509,0.05821592818993516,-0.7608133774830126
MRK,Healthcare,1999-01-04,2024-12-30,2.44891914324414,0.04879333788852924,0.2659815377954667,0.06659256931589043,-0.6862241665293429
T,Communication Services,1999-01-04,2024-12-30,2.1324677197778437,0.04491654000429213,0.26155859820263233,0.053538690369497044,-0.6387844963984065
NEM,Materials,1999-01-04,2024-12-30,2.119566272756244,0.044750609085223436,0.40321072888124937,0.03433552885953495,-0.7655418894835901
SLB,Energy,1999-01-04,2024-12-30,1.8968712035380708,0.04177739577555495,0.38683458184776504,0.028410656419973142,-0.8763990123882592
BAC,Financials,1999-01-04,2024-12-30,1.8487800021021545,0.04110653243600537,0.43531740817666653,0.023764456962070746,-0.9344570989032546
VZ,Communication Services,1999-01-04,2024-12-30,1.8184743340812322,0.040678157949255,0.24359641191134887,0.04077610798553548,-0.5681577103056197
BMY,Healthcare,1999-01-04,2024-12-30,1.2817606875286511,0.03225299511045865,0.27766523309166674,0.006453181911055612,-0.7061561639215549
PFE,Healthcare,1999-01-04,2024-12-30,0.6510512212809678,0.019481563419997405,0.25829051431196914,-0.041335531481341635,-0.6925080339004457
INTC,Technology,1999-01-04,2024-12-30,0.15720043898699365,0.005633999746563756,0.3885037359649934,-0.0627363594568011,-0.8224647304421596
C,Financials,1999-01-04,2024-12-30,-0.47291565116220824,-0.024341100514432834,0.4617442458452135,-0.11841952067904338,-0.9800024349035127
^IRX,Benchmark,1999-01-04,2024-12-30,-0.6008255077561993,-0.03472105215129506,3.752527983974511,-0.017452054383553753,-0.9997954551952131
